Time,Temperature,Rain,Wind
26.August. - 00:00,22.3,0.0,13.9
26.August. - 01:00,21.9,0.0,12.7
26.August. - 02:00,21.5,0.0,12.7
26.August. - 03:00,21.2,0.0,16.3
26.August. - 04:00,21.0,0.0,21.3
26.August. - 05:00,20.8,0.0,24.5
26.August. - 06:00,20.1,0.0,24.5
26.August. - 07:00,19.4,0.0,22.7
26.August. - 08:00,19.1,0.0,21.7
26.August. - 09:00,19.7,0.0,21.8
26.August. - 10:00,20.8,0.0,22.4
26.August. - 11:00,21.5,0.0,23.1
26.August. - 12:00,21.7,0.0,23.2
26.August. - 13:00,21.5,0.0,23.4
26.August. - 14:00,21.3,0.0,23.5
26.August. - 15:00,21.1,0.0,23.6
26.August. - 16:00,20.9,0.0,23.7
26.August. - 17:00,20.5,0.0,23.7
26.August. - 18:00,19.9,0.0,22.9
26.August. - 19:00,19.1,0.0,22.1
26.August. - 20:00,18.4,0.0,21.5
26.August. - 21:00,17.9,0.0,21.1
26.August. - 22:00,17.6,0.0,20.9
26.August. - 23:00,17.2,0.0,20.7
